id,date,amount,narration,utr,type
72b4bef5-1834-46ee-b81b-f4318badfd9d,14-10-2023,3458.9,NEFT-ALPH-UTR39037940,UTR39037940,CREDIT
01252b3d-39df-4e8e-9694-9baa0f5556ce,27-10-2023,2545.29,NEFT-TECH-UTR93159596,UTR93159596,CREDIT
86f3452e-f005-4572-b35e-94bf467c1659,22-10-2023,4259.53,NEFT-TECH-UTR38571566,UTR38571566,CREDIT
1c595047-0986-40bc-af68-a3290d87c33d,09-10-2023,3613.86,NEFT-ACME-UTR81777941,UTR81777941,CREDIT
11104837-dfad-46a5-aac4-3f19ddfbe773,29-10-2023,4314.15,NEFT-OMEG-UTR40437250,,CREDIT
1c33083a-c8e1-4165-8ad8-1b8b78e857f3,14-10-2023,4845.69,NEFT-OMEG-UTR53824169,,CREDIT
3c5110a6-6b0d-469a-9abe-d8714c436483,16-10-2023,3633.59,NEFT-GLOB-UTR24614405,UTR24614405,CREDIT
9aefd724-82dc-4f14-9515-184ce3b5eaa6,04-10-2023,1400.24,NEFT-ALPH-UTR35120483,UTR35120483,CREDIT
840316bf-c96f-47d9-890c-1b6d9e742404,09-10-2023,4495.98,NEFT-ACME-UTR49331664,UTR49331664,CREDIT
f528938e-dc1e-46f3-8d5b-382e4ad952ed,04-10-2023,1743.06,NEFT-TECH-UTR46468436,UTR46468436,CREDIT
0ec2ac88-52ee-4f7e-b5d0-e1da565776df,09-10-2023,4472.02,NEFT-ACME-UTR69711130,UTR69711130,CREDIT
32af2625-8a46-4243-a29d-8243e4801b9c,01-10-2023,1468.68,NEFT-ALPH-UTR81004120,UTR81004120,CREDIT
52e4ed7e-16c8-499d-92a4-dcd4cbcfed78,31-10-2023,3351.77,NEFT-OMEG-UTR19351254,UTR19351254,CREDIT
89428857-796a-4dd1-8761-38dba6c13959,30-10-2023,729.9,NEFT-TECH-UTR75548867,,CREDIT
bdd58e6f-bf99-4466-8f23-fd637a0ea2d5,18-10-2023,2364.1,NEFT-OMEG-UTR47843316,UTR47843316,CREDIT
2169fa06-047e-4ce2-82ac-ea63e475ebd4,05-10-2023,1583.55,NEFT-GLOB-UTR13591975,UTR13591975,CREDIT
8f554542-4a50-4f07-992f-623858db3510,17-10-2023,4684.9,NEFT-ACME-UTR63655910,UTR63655910,CREDIT
3a811f73-cc45-4f64-8e59-0d6a0396c9c4,11-10-2023,4561.86,NEFT-GLOB-UTR55433730,UTR55433730,CREDIT
c1866c55-0790-4808-8bed-cce8a79c84bf,26-10-2023,935.4,NEFT-OMEG-UTR32841281,UTR32841281,CREDIT
17942d95-7248-47de-84d0-5b652e011cda,28-10-2023,2513.9,NEFT-ALPH-UTR80296076,UTR80296076,CREDIT
b88ccccf-26bd-4344-993f-bac002041569,03-10-2023,1965.56,NEFT-ACME-UTR89340449,,CREDIT
0cea387e-0462-4138-93fc-a1ca1b4c8420,20-10-2023,1155.8,NEFT-TECH-UTR47403125,UTR47403125,CREDIT
