id,transaction_date,amount,utr,invoice_id,customer,account
2c97571f-fcdd-4273-a4c4-2b3a0f572f93,2023-10-30,1731.61,UTR15216343,INV-92382,Acme Inc,ACC-RECEIVABLE
b4d182d1-db5b-44f5-bf86-bed903591b64,2023-10-19,2138.08,UTR94947811,INV-31796,Alpha Beta,ACC-RECEIVABLE
2369f55a-3599-4c62-87f8-d2d82d10028f,2023-10-12,2028.1599999999999,UTR27150070,INV-51861,Tech Corp,ACC-RECEIVABLE
9c5d977f-9470-41f2-b3f2-4d683167af51,2023-10-23,3683.92,UTR91331648,INV-69906,Acme Inc,ACC-RECEIVABLE
54d67a57-e2c8-4a0e-8f6d-d156156d2658,2023-10-28,1443.4,UTR82471878,INV-71548,Tech Corp,ACC-RECEIVABLE
e4a72c63-a7be-4b2c-b239-27512000b0fa,2023-10-15,1068.06,UTR46189557,INV-34680,Tech Corp,ACC-RECEIVABLE
53240d33-ee31-4d28-b58c-ad9b36b0ba6b,2023-10-12,2343.79,UTR22134452,INV-67753,Global Solutions,ACC-RECEIVABLE
bcb7042d-71a5-4165-a702-143e021568a9,2023-10-06,2952.24,UTR17930619,INV-11293,Omega LLC,ACC-RECEIVABLE
9cadf498-ce18-4cae-ac78-e90a09e18dc2,2023-10-17,3799.77,,INV-71502,Global Solutions,ACC-RECEIVABLE
e435d5c0-bd8d-49c0-bafa-c37b011aa2ee,2023-10-21,1734.58,,INV-40540,Omega LLC,ACC-RECEIVABLE
e48d4382-c4cb-40aa-8aac-e48b9076fa56,2023-10-18,717.69,UTR38464534,INV-71215,Alpha Beta,ACC-RECEIVABLE
d2a38db7-004b-4159-ab78-11a71b8ecf89,2023-10-13,3429.53,UTR56457447,INV-60522,Alpha Beta,ACC-RECEIVABLE
119ccf23-60de-4ad3-8b7c-39bcf92a6d0f,2023-10-27,1840.23,,INV-90254,Tech Corp,ACC-RECEIVABLE
273efe25-d209-4f50-966c-75b93807725b,2023-10-17,2665.94,UTR13638007,INV-89191,Omega LLC,ACC-RECEIVABLE
e3b9eaa1-e399-4204-a4b4-26a6a2ae1264,2023-10-06,4656.73,UTR58533106,INV-38904,Omega LLC,ACC-RECEIVABLE
378c664b-f4a5-4643-9304-13809056e076,2023-10-13,1334.13,UTR25069348,INV-82788,Alpha Beta,ACC-RECEIVABLE
8aa95d80-08bc-4959-8514-4d6420f7e070,2023-10-28,4302.7,UTR22028296,INV-73709,Tech Corp,ACC-RECEIVABLE
836e48b8-189b-486a-80be-beb634fa8644,2023-10-07,1443.12,UTR89921015,INV-35980,Tech Corp,ACC-RECEIVABLE
330a63f9-c515-4f7b-9bb8-5958daafea11,2023-10-19,1099.66,UTR30584915,INV-75258,Acme Inc,ACC-RECEIVABLE
b7ce231e-3c1e-4d3a-b2a2-852e051bc4db,2023-10-18,1284.44,UTR34292710,INV-80742,Global Solutions,ACC-RECEIVABLE
f7792f2f-da2d-4cf4-a6e4-6c08ba9a415f,2023-10-31,2307.8,UTR38326860,INV-89237,Tech Corp,ACC-RECEIVABLE
e1137989-deb6-4c7b-b229-abeedc20a48a,2023-10-23,1164.76,UTR99686600,INV-38622,Acme Inc,ACC-RECEIVABLE
9a721acb-045e-4847-9b25-6d2fd19a1a84,2023-10-12,3768.32,UTR85701796,INV-60615,Acme Inc,ACC-RECEIVABLE
8d4a87e7-f668-4625-9345-12750911f5a0,2023-10-15,4110.83,UTR17100416,INV-41683,Alpha Beta,ACC-RECEIVABLE
8015777a-40b0-40b6-83f9-e17543fe8e91,2023-10-04,3992.86,UTR49688548,INV-15266,Omega LLC,ACC-RECEIVABLE
