id,settlement_date,amount,utr,settlement_id,merchant,fee
5aa6c4c0-8937-4a36-843f-00eb7bf85113,2023/10/06,554.74,,SET-20284,tech_corp,0.0
b23b842d-4822-4ce6-b8ea-758861e0bed7,2023/10/18,593.05,UTR14523802,SET-35492,alpha_beta,0.0
7dd2296c-c026-4e1f-9c92-b34d37552740,2023/10/30,1731.61,UTR15216343,SET-78087,acme_inc,0.0
e25f901e-0c48-4c6f-a80d-893533150706,2023/10/14,2701.22,UTR53242342,SET-49868,omega_llc,0.0
1f97fa98-a9c5-440b-8556-2931946abb73,2023/10/06,3388.13,UTR38179568,SET-56296,tech_corp,0.0
33126775-7586-4af2-8970-016597ec47cc,2023/10/20,1821.7,UTR51388707,SET-53226,tech_corp,0.0
6bdb2192-5cea-4c7d-8e74-a0f5f8b82710,2023/10/27,1354.78,UTR93844568,SET-13556,global_solutions,0.0
bd520bea-023d-4948-960f-bc571640cdad,2023/10/18,1284.44,UTR34292710,SET-88489,global_solutions,0.0
11dc49b8-b0f6-4161-bbd4-310c99a8ed6f,2023/10/23,3683.92,UTR91331648,SET-93914,acme_inc,0.0
f15266a9-b821-4924-9687-446fb9bfb747,2023/10/28,1443.4,UTR82471878,SET-69665,tech_corp,0.0
298928b5-3c37-4584-a374-bb93529df204,2023/10/22,1727.28,UTR20300914,SET-48884,global_solutions,0.0
09e535e4-1117-43bd-85d5-2c45493a92e1,2023/10/27,1840.23,,SET-38438,tech_corp,0.0
012b0645-3f74-4c6e-9723-f07997166c41,2023/10/17,922.96,UTR17493650,SET-96125,acme_inc,0.0
9dbea814-f8e5-488a-afde-09233db59b6d,2023/10/16,4049.56,UTR58585957,SET-76325,acme_inc,82.64
c1b6ceca-82ad-4ae0-94a6-51564c3a0ac6,2023/10/19,3042.05,UTR50672919,SET-10038,alpha_beta,0.0
62c8a223-fac0-4c56-af94-e3d331b677e4,2023/10/06,4508.39,UTR49623364,SET-72943,omega_llc,0.0
d885e968-abc3-4cf1-8089-53d106cf7072,2023/10/19,4030.65,,SET-43537,tech_corp,0.0
429b18eb-8780-467b-ba27-33f9459f8140,2023/10/21,1990.2,UTR64416378,SET-88645,tech_corp,0.0
01daa868-6f83-41e1-9f5e-ba886a096dc9,2023/10/30,1906.42,UTR95085738,SET-15148,alpha_beta,0.0
8c19a34b-05c5-490c-a198-4d975309fddf,2023/10/19,1520.3,UTR27891601,SET-72570,omega_llc,0.0
0dbb224f-1db7-4246-9629-bebbfa0dcb3b,2023/10/18,2720.89,UTR58109308,SET-30777,alpha_beta,0.0
534d433f-2036-4d0c-92c8-721c7c156792,2023/10/16,854.36,UTR33599121,SET-28603,global_solutions,0.0
a80e53fc-5742-48c3-9540-7b09725d16cf,2023/10/11,793.42,UTR56450836,SET-55691,alpha_beta,0.0
1b1e4eea-e498-451e-9170-a1d55490d2ca,2023/10/18,3120.78,UTR92751940,SET-78407,alpha_beta,0.0
