group_id,settlement_id,amount,utr_number,settlement_date,merchant_name
grp_001,setl_18986,4986.72,UTR18826235,2023/10/30,tech_corp
grp_002,setl_14942,3823.96,UTR33390868,2023/10/17,omega_llc
grp_003,setl_70490,2617.78,UTR81638214,2023/10/13,acme_inc
grp_004,setl_86090,2515.96,UTR37199736,2023/10/21,acme_inc
grp_005,setl_45998,2499.82,UTR54300965,2023/10/01,alpha_beta
grp_006,setl_59527,3580.21,UTR95124676,2023/10/07,tech_corp
grp_007,setl_76874,2390.35,UTR27183233,2023/10/22,tech_corp
grp_008,setl_52232,2359.71,UTR27889320,2023/10/09,alpha_beta
grp_009,setl_39075,4570.67,UTR13183283,2023/10/28,global_solutions
grp_010,setl_62929,4979.24,UTR79072554,2023/10/31,acme_inc
grp_011,setl_56570,2461.81,UTR16459698,2023/10/29,acme_inc
grp_012,setl_72790,2229.16,UTR11023006,2023/10/22,alpha_beta
grp_013,setl_67012,2113.81,UTR75887571,2023/10/06,tech_corp
grp_014,setl_37078,2581.52,UTR42781352,2023/10/29,omega_llc
grp_015,setl_52608,4434.74,UTR34419728,2023/10/09,acme_inc
grp_016,setl_11845,4742.68,UTR44255888,2023/10/01,alpha_beta
grp_017,setl_47502,1315.59,UTR22334074,2023/10/12,acme_inc
grp_018,setl_48056,4576.67,UTR83286530,2023/10/26,acme_inc
grp_019,setl_79943,665.31,UTR32969847,2023/10/10,acme_inc
grp_020,setl_42311,2079.17,UTR40509961,2023/10/25,global_solutions
grp_021,setl_95753,4603.8,UTR33259643,2023/10/18,alpha_beta
grp_022,setl_98093,3916.51,UTR43926286,2023/10/19,global_solutions
grp_023,setl_65667,1064.69,UTR31171628,2023/10/04,alpha_beta
grp_024,setl_82395,2379.52,UTR64748789,2023/10/05,omega_llc
grp_025,setl_11000,2355.64,UTR84062296,2023/10/05,alpha_beta
grp_026,setl_75022,3489.06,UTR46095350,2023/10/04,omega_llc
grp_027,setl_26236,4832.81,UTR33861929,2023/10/21,tech_corp
grp_028,setl_83196,3514.29,UTR23625704,2023/10/17,acme_inc
grp_029,setl_60171,3633.14,UTR60636355,2023/10/22,alpha_beta
grp_030,setl_55750,2538.45,UTR72775336,2023/10/30,alpha_beta
grp_031,setl_79924,4317.02,UTR59177168,2023/10/22,global_solutions
grp_032,setl_36595,3503.83,UTR68175342,2023/10/16,omega_llc
grp_033,setl_45296,2225.67,UTR62771179,2023/10/11,omega_llc
grp_034,setl_91267,4431.63,UTR72939141,2023/10/21,omega_llc
grp_035,setl_71795,4006.23,UTR27953144,2023/10/14,alpha_beta
grp_036,setl_79212,4535.92,UTR78495243,2023/10/08,global_solutions
grp_037,setl_42597,2624.86,UTR73001742,2023/10/15,acme_inc
grp_038,setl_28057,4935.35,UTR64735403,2023/10/31,global_solutions
grp_039,setl_17918,4991.58,UTR79347491,2023/10/25,global_solutions
grp_040,setl_39152,1856.98,UTR14597304,2023/10/24,acme_inc
grp_041,setl_48410,3318.38,UTR62499597,2023/10/07,acme_inc
grp_042,setl_79033,2365.34,UTR31339887,2023/10/17,alpha_beta
grp_043,setl_13975,3171.7,UTR73522045,2023/10/31,tech_corp
grp_044,setl_51330,4859.21,UTR45992446,2023/10/28,global_solutions
grp_045,setl_79004,4724.62,UTR90101304,2023/10/26,acme_inc
grp_046,setl_60986,4039.81,UTR10084567,2023/10/30,omega_llc
grp_047,setl_47997,3008.07,UTR43773487,2023/10/04,alpha_beta
grp_048,setl_51905,3567.49,UTR27987154,2023/10/08,acme_inc
grp_049,setl_57695,828.72,UTR25372680,2023/10/04,global_solutions
grp_050,setl_43296,4354.68,UTR39303616,2023/10/07,global_solutions
grp_051,setl_67966,1879.15,UTR96869467,2023/10/04,global_solutions
grp_052,setl_43375,1772.17,UTR62864036,2023/10/01,global_solutions
grp_053,setl_54551,4457.16,UTR96676893,2023/10/28,alpha_beta
grp_054,setl_57552,1391.11,UTR33999497,2023/10/20,acme_inc
grp_055,setl_54002,1883.25,UTR65625509,2023/10/26,omega_llc
grp_056,setl_85864,2123.56,UTR42150858,2023/10/04,global_solutions
grp_057,setl_60096,4041.83,UTR24704016,2023/10/27,tech_corp
