id,settlement_date,amount,utr,settlement_id,merchant,fee
6f8ca987-d2fd-4f0f-a948-4715ea2b75a1,2023/10/26,935.4,UTR32841281,SET-74593,omega_llc,0.0
76b32182-dff4-44ab-89a1-44033f65058a,2023/10/08,655.04,UTR40592479,SET-80160,omega_llc,0.0
4fa469c4-3d0c-4319-b3a2-3dd3004f9427,2023/10/18,2042.01,UTR79670206,SET-55830,alpha_beta,0.0
95ba81fd-36c5-48df-a38c-b25adfb909af,2023/10/17,2318.77,UTR69714246,SET-35756,omega_llc,0.0
e12e075c-2aee-45c5-ace6-32f3da809bfe,2023/10/05,4862.41,,SET-63148,alpha_beta,0.0
4507298c-32f7-4ccb-9cb9-a9f3a899d29d,2023/10/29,4314.15,,SET-93993,omega_llc,0.0
4263319d-b4b9-4a6a-a32e-d4861824e1f6,2023/10/17,4684.9,UTR63655910,SET-73017,acme_inc,0.0
9417491c-6fef-4332-b914-eb47d9a2d738,2023/10/17,1805.34,UTR57004999,SET-55285,tech_corp,0.0
8a144089-a09b-41a4-a8a0-35804ff8d970,2023/10/14,1134.37,UTR51595920,SET-90241,omega_llc,0.0
b85cfe0b-2bb3-4700-96c0-8c46951d77f8,2023/10/27,2545.29,UTR93159596,SET-38131,tech_corp,0.0
afac2a69-3dbf-4a1c-bffb-6014652b42cd,2023/10/21,1712.42,UTR30043849,SET-78658,tech_corp,0.0
0792bf08-2597-481a-b36b-fd4b23c37d85,2023/10/21,1155.8,UTR47403125,SET-54395,tech_corp,0.0
c6b70ae6-0f4c-4a5a-9d4a-4169df2ed260,2023/10/23,1005.98,UTR69639745,SET-20020,omega_llc,0.0
2026323f-3d61-47d4-b0a5-1d335dee5a9d,2023/10/11,-3457.25,UTR90079338,SET-64763,acme_inc,6914.5
226be702-2618-413f-93b1-296544d734aa,2023/10/11,1792.02,UTR79753198,SET-93384,acme_inc,0.0
4c1fd76d-2b31-4c20-b050-db6db7bb5191,2023/10/20,3394.06,UTR86539316,SET-76174,omega_llc,0.0
229eeaa3-2c67-4304-82f6-36a5b89768dd,2023/10/08,618.84,UTR60390366,SET-27955,alpha_beta,0.0
8d2f2c94-7337-48e9-9a5c-654845aeef55,2023/10/26,3112.52,UTR46109303,SET-95556,acme_inc,0.0
62bfdd9c-0a9f-4521-ad81-16659fea60b5,2023/10/09,3613.86,,SET-81054,acme_inc,0.0
21241ef2-33ef-455b-8ab4-387ce1ad2f7b,2023/10/11,669.92,UTR97011395,SET-82125,global_solutions,0.0
9c51e1f0-df4c-42cc-a9d0-6c8c037acede,2023/10/22,4174.34,UTR38571566,SET-91315,tech_corp,85.19
7b0fd7ab-8024-40df-8290-309a0affb223,2023/10/09,4472.02,UTR69711130,SET-81272,acme_inc,0.0
b4c188eb-56f3-469b-bb94-77f3e3ebb257,2023/10/19,4964.14,UTR56182332,SET-39668,global_solutions,0.0
2218eb4b-2f9e-480e-92e0-2e472cbaf182,2023/10/23,1783.87,UTR62518714,SET-49304,omega_llc,0.0
0d45ed45-3702-436d-9e59-2684947f6a79,2023/10/06,1930.85,UTR86779835,SET-86732,alpha_beta,0.0
e5ebc0a3-13ed-47de-89d9-e2073e6db1f7,2023/10/13,3253.81,UTR37479190,SET-42183,acme_inc,0.0
d4c92190-ad0e-4fa1-a375-7beed403cb16,2023/10/28,4353.98,UTR91800996,SET-13518,global_solutions,0.0
5b588888-ca3c-4e96-8cd5-2b06bb655060,2023/10/14,4528.58,UTR14432085,SET-58928,acme_inc,0.0
33e2202c-6109-4ad0-b1a1-3ea0bc0cff8e,2023/10/14,4845.69,,SET-19448,omega_llc,0.0
f015118f-f845-4dae-bd35-2fd6fa36eeff,2023/10/15,-1804.69,UTR37443184,SET-31027,acme_inc,3609.38
0f3c5a31-2975-4761-955f-fb819a8bcbd4,2023/10/19,2491.18,UTR43344784,SET-88418,global_solutions,0.0
8d58a6ce-cc5e-4223-8c98-bfc30bed22f6,2023/10/05,2396.92,UTR21136487,SET-88330,omega_llc,0.0
59648ae7-ed88-40c9-80d9-dab27312696a,2023/10/05,1583.55,UTR13591975,SET-57532,global_solutions,0.0
670768b8-d704-495f-89dc-3d381b2b1f9c,2023/10/18,2662.14,UTR41428858,SET-28101,omega_llc,0.0
8ae6dc80-601b-42b1-8eca-a54c34888c67,2023/10/29,1513.51,UTR35977363,SET-90181,acme_inc,0.0
05086d8a-56d2-4fd6-977d-e2d32e8ba35f,2023/10/11,4470.62,UTR55433730,SET-15034,global_solutions,91.24
5027240b-387b-49b8-abd2-8f2ed091b10a,2023/10/16,4494.23,UTR98614273,SET-89531,alpha_beta,0.0
0cbace81-394e-4908-ad69-ff7a5c226c4a,2023/10/24,2588.47,UTR76886840,SET-78372,acme_inc,0.0
f37a193b-fa45-48e1-96c6-0470d9693afc,2023/10/19,4261.91,,SET-75435,some weird name,2.0
0b66f55d-9d25-4e33-88e6-7d0ada17e81b,2023/10/05,4687.14,UTR88782151,SET-36539,alpha_beta,0.0
bc53513f-6910-48be-ab3a-a81dd7836c81,2023/10/12,878.66,UTR78813983,SET-37253,tech_corp,17.93
2923ac1a-6c34-4205-8a07-14d012a56f34,2023/10/27,562.81,UTR58453254,SET-63354,global_solutions,0.0
71492ae5-beb3-40af-80d2-eddeb63bf665,2023/10/25,3693.1,UTR25111665,SET-96761,global_solutions,0.0
05eed1ca-d0f9-4d09-9e3f-dc81d51fa14f,2023/10/29,2086.23,UTR49251743,SET-74233,tech_corp,42.58
0e5f4f00-3e94-4b86-af97-b46f24614a6a,2023/10/22,4959.94,UTR42258409,SET-58058,omega_llc,0.0
6c2a2bfd-bb99-4bb8-932b-3bd15a973d8a,2023/10/31,3473.78,,SET-63713,acme_inc,0.0
d9a8e80a-ae05-4dc5-aaec-3a7d6e3a3cb9,2023/10/31,3351.77,,SET-72284,omega_llc,0.0
57533944-5bc3-421c-a0a2-b7d50f8d926b,2023/10/06,4083.75,UTR56724942,SET-68352,alpha_beta,0.0
13372bad-03bc-458b-8720-93754a984820,2023/10/25,1713.44,UTR24154010,SET-17644,tech_corp,0.0
3fdafebd-cece-415a-ae7b-72725d14e9dd,2023/10/15,4086.87,UTR36674456,SET-29998,alpha_beta,0.0
81c15ef2-b3e6-4a90-835c-34da051b1f62,2023/10/03,2117.67,UTR30028576,SET-62617,omega_llc,0.0
182b8eb1-dcd2-4df8-aae4-0a255993e269,2023/10/10,3284.8,UTR17330076,SET-82115,acme_inc,0.0
6f1de51d-e532-474a-91a5-9366fcc812ea,2023/10/17,3249.16,,SET-75475,some weird name,2.0
08896535-1bc1-426e-9ebb-3a30da9cbd3c,2023/10/01,1468.68,UTR81004120,SET-71444,alpha_beta,0.0
1b51dd34-3bce-4d82-8e79-b2fbf5dbc7c7,2023/10/01,4681.9,UTR21241550,SET-69183,alpha_beta,0.0
fa123bff-4b61-4db8-ba0e-1e359bc05b36,2023/10/14,3458.9,UTR39037940,SET-77179,alpha_beta,0.0
4d11b0d3-60f3-4a4d-a7a6-a8d5598350c7,2023/10/13,3173.92,UTR12316565,SET-45716,tech_corp,0.0
c570eac1-a05f-4536-b8f8-4e0403a68f68,2023/10/09,4495.98,UTR49331664,SET-64555,acme_inc,0.0
247c8960-0549-4aa3-8127-e9c1e2e0bbdb,2023/10/04,2243.06,UTR46468436,SET-72007,tech_corp,0.0
e3017d33-8eed-4be8-a8fb-a82677dea8fd,2023/10/01,3608.71,UTR36549796,SET-91127,omega_llc,0.0
c920829c-33e5-4ca5-b2b2-00565dd865d9,2023/10/20,4139.19,UTR32347656,SET-42429,global_solutions,0.0
